date,hour_of_day,avg(average_speed)
2023-04-25,13,11.97257090472071
2023-04-25,14,11.12234079523321
2023-04-25,15,10.32451884183058
2023-04-25,16,10.067513712135312
2023-04-25,17,10.107041533905235
2023-04-25,18,11.284724216189813
2023-04-25,19,12.950602443153045
2023-04-25,20,13.62747642834036
2023-04-25,21,14.294380137475896
2023-04-25,22,14.865305286633133
2023-04-25,23,15.571640058926297
2023-04-26,0,16.087684346986652
2023-04-26,1,16.883983032723116
2023-04-26,2,17.370426291035077
2023-04-26,3,20.0167747000508
2023-04-26,4,22.42497967916685
2023-04-26,5,20.094363435321373
2023-04-26,6,16.025959587917185
2023-04-26,7,12.097890935966959
2023-04-26,8,11.135978787856747
2023-04-26,9,11.736596250130459
2023-04-26,10,11.72505377643133
2023-04-26,11,11.635961963401932
2023-04-26,12,11.57788201466514
2023-04-26,13,11.59591139572613
2023-04-26,14,10.638724228602493
2023-04-26,15,9.983311518049032
2023-04-26,16,9.762911563529322
2023-04-26,17,9.8010881518258
2023-04-26,18,10.954863955275542
2023-04-26,19,12.437591655530417
2023-04-26,20,13.164380324659918
2023-04-26,21,13.901515302567004
2023-04-26,22,14.403161953707102
2023-04-26,23,15.257456509308154
2023-04-27,0,16.12171256187175
2023-04-27,1,16.5584769457809
2023-04-27,2,17.390892138856266
2023-04-27,3,19.844339525340764
2023-04-27,4,22.688767188328566
2023-04-27,5,20.187167776450757
2023-04-27,6,16.008842091916147
2023-04-27,7,12.226415793278516
2023-04-27,8,11.158314362108266
2023-04-27,9,11.628188770337612
2023-04-27,10,11.79939881133968
2023-04-27,11,11.594242696903033
2023-04-27,12,11.712134111790716
2023-04-27,13,11.596585054578048
2023-04-27,14,10.655908999050697
2023-04-27,15,9.959055928083393
2023-04-27,16,9.681778412341366
2023-04-27,17,9.674675751094423
2023-04-27,18,10.560708838074934
2023-04-27,19,12.14668195503986
2023-04-27,20,12.898669210522922
2023-04-27,21,13.713038640258853
2023-04-27,22,13.713209639477977
2023-04-27,23,14.41328704612119
2023-04-28,0,15.243842521529816
2023-04-28,1,15.968360665816993
2023-04-28,2,16.535933092966825
2023-04-28,3,18.84048865750072
2023-04-28,4,21.928775229814008
2023-04-28,5,20.695931119513602
2023-04-28,6,16.746082558492073
2023-04-28,7,12.714779325689243
2023-04-28,8,12.003795293535617
2023-04-28,9,12.393555792331055
2023-04-28,10,12.381801263023073
2023-04-28,11,12.087057984425732
2023-04-28,12,11.891897466246581
2023-04-28,13,11.491224075251447
2023-04-28,14,10.346511569929142
2023-04-28,15,9.738993792715203
2023-04-28,16,9.834860526892687
2023-04-28,17,10.153113234098816
2023-04-28,18,10.788503169343315
2023-04-28,19,10.968047259107609
2023-04-28,20,10.97550004041334
2023-04-28,21,11.599455725192852
2023-04-28,22,12.172663355644143
2023-04-28,23,12.939888910568833
2023-04-29,0,13.38318978866902
2023-04-29,1,13.86510599294909
2023-04-29,2,14.616430373441078
